iter	Passed	Remaining
0	8	8881
1	20	10459
2	29	9966
3	43	10756
4	57	11518
5	70	11664
6	79	11270
7	89	11128
8	99	10922
9	109	10791
10	119	10765
11	131	10827
12	141	10711
13	151	10695
14	161	10604
15	171	10577
16	181	10483
17	189	10353
18	199	10319
19	210	10302
20	221	10321
21	231	10306
22	243	10340
23	253	10308
24	266	10376
25	280	10496
26	291	10514
27	302	10516
28	315	10557
29	325	10528
30	334	10461
31	345	10439
32	355	10413
33	367	10452
34	378	10444
35	389	10419
36	397	10349
37	408	10339
38	419	10324
39	428	10294
40	440	10300
41	452	10316
42	463	10310
43	475	10341
44	487	10343
45	499	10359
46	511	10363
47	522	10367
48	533	10352
49	547	10398
50	557	10379
51	580	10586
52	592	10588
53	602	10548
54	615	10572
55	626	10562
56	637	10547
57	650	10562
58	659	10517
59	669	10490
60	678	10442
61	685	10369
62	692	10300
63	701	10264
64	709	10201
65	716	10140
66	722	10067
67	730	10007
68	737	9946
69	743	9876
70	750	9823
71	758	9777
72	766	9728
73	772	9667
74	779	9610
75	786	9559
76	793	9514
77	800	9464
78	807	9412
79	814	9365
80	820	9309
81	828	9276
82	835	9235
83	842	9189
84	850	9156
85	857	9117
86	865	9079
87	871	9031
88	878	8988
89	884	8946
90	891	8909
91	899	8874
92	905	8831
93	911	8784
94	917	8737
95	923	8700
96	929	8653
97	937	8626
98	944	8598
99	951	8562
100	957	8524
101	964	8490
102	972	8465
103	978	8427
104	985	8398
105	990	8357
106	996	8319
107	1004	8293
108	1010	8260
109	1017	8235
110	1024	8205
111	1032	8187
112	1038	8155
113	1045	8123
114	1051	8091
115	1057	8059
116	1065	8041
117	1072	8015
118	1079	7988
119	1086	7965
120	1092	7936
121	1098	7907
122	1105	7880
123	1112	7862
124	1119	7838
125	1125	7803
126	1132	7786
127	1138	7758
128	1146	7739
129	1152	7714
130	1158	7682
131	1165	7663
132	1170	7632
133	1178	7616
134	1186	7601
135	1193	7580
136	1200	7564
137	1206	7535
138	1214	7525
139	1221	7500
140	1228	7486
141	1234	7461
142	1241	7441
143	1248	7419
144	1255	7400
