iter	RMSE
0	1.398322697
1	1.343001698
2	1.29028938
3	1.241499264
4	1.196181323
5	1.154859677
6	1.113666107
7	1.075692376
8	1.039385649
9	1.007684704
10	0.975511912
11	0.9465823884
12	0.9191455603
13	0.892875098
14	0.8696445107
15	0.8470387834
16	0.826480394
17	0.8068863232
18	0.7888735753
19	0.7718959982
20	0.7559828364
21	0.7420491785
22	0.7282252428
23	0.7165723545
24	0.7049258315
25	0.6936354958
26	0.6832460777
27	0.6738732228
28	0.6648470528
29	0.6564860688
30	0.6482613851
31	0.6410651488
32	0.6342765024
33	0.6286435603
34	0.6235881569
35	0.6183832544
36	0.6132689334
37	0.6089868214
38	0.6039111818
39	0.5997962859
40	0.5960673965
41	0.5923100378
42	0.5892818044
43	0.585715932
44	0.5821961559
45	0.5794554009
46	0.5764247357
47	0.5737789182
48	0.5716758372
49	0.5694499614
50	0.567213408
51	0.5647076572
52	0.5626256062
53	0.5602629713
54	0.5579676817
55	0.5564306091
56	0.5539804807
57	0.5522885253
58	0.5508606408
59	0.5496606092
60	0.5481698931
61	0.5470932198
62	0.5453443504
63	0.5442229664
64	0.542588543
65	0.5413075291
66	0.5397677984
67	0.5387000098
68	0.5374773215
69	0.5358927046
70	0.5348602335
71	0.533944692
72	0.5326573778
73	0.5316537065
74	0.5305138114
75	0.5296852501
76	0.5289034617
77	0.5277416477
78	0.5268472241
79	0.5259356291
80	0.5251605326
81	0.5239002714
82	0.5229982016
83	0.5222079838
84	0.5212669619
85	0.5204081292
86	0.5196508648
87	0.5188760762
88	0.5177794432
89	0.5173349182
90	0.5165707957
91	0.5156680247
92	0.5147577311
93	0.5136342691
94	0.5128324013
95	0.5120458682
96	0.5113864221
97	0.510647357
98	0.5101164748
99	0.5096170251
100	0.5089942568
101	0.5081122199
102	0.5074512987
103	0.5064508597
104	0.5059343891
105	0.5051205867
106	0.5040298735
107	0.5030976213
108	0.502475101
109	0.5018530854
110	0.5014416775
111	0.5006241
112	0.4999778327
113	0.4995653329
114	0.4982941022
115	0.497577065
116	0.4971720784
117	0.4965703583
118	0.4959407191
119	0.4948915636
120	0.4943289198
121	0.4935095351
122	0.4928983358
123	0.4923638648
124	0.4920300969
125	0.4913832934
126	0.4910157795
127	0.4900374751
128	0.4894779374
129	0.4889699836
130	0.4884540341
131	0.4879966583
132	0.487458627
133	0.4870853384
134	0.4864502977
135	0.485976507
136	0.485401741
137	0.4847843598
138	0.4843581714
139	0.4839830085
140	0.4832655968
141	0.4828162423
142	0.4822551885
143	0.4817781271
144	0.4810294818
145	0.4803221322
146	0.479569702
147	0.4790776401
148	0.4786662448
149	0.4780765246
150	0.4773660496
151	0.4767061391
152	0.4761749178
153	0.475672813
154	0.4749132985
155	0.474479407
156	0.4736981652
157	0.4733060569
158	0.4730825829
159	0.4725718942
160	0.4719394533
161	0.4712355136
162	0.4705579933
163	0.4702314738
164	0.4696085953
165	0.4687956264
166	0.4680605088
167	0.4675186537
168	0.4672764659
169	0.4667582573
170	0.466331044
171	0.4659476382
172	0.4653218816
173	0.4645311281
174	0.4642705132
175	0.4638173941
176	0.4631756718
177	0.4628293366
178	0.4620670481
179	0.4614042753
180	0.4609750757
181	0.4603608309
182	0.4599207673
183	0.459664538
184	0.4593662185
185	0.4588168466
186	0.4580927288
187	0.4575333071
188	0.4569592644
189	0.4564844976
190	0.4560709743
191	0.4555368228
192	0.454919399
193	0.4543352404
194	0.4539147926
195	0.4535217194
196	0.4527336635
197	0.4521052149
198	0.4517364111
199	0.4514389288
200	0.4508182981
201	0.4502990172
202	0.4500415678
203	0.4497751515
204	0.4493138052
205	0.4490718066
206	0.4484840183
207	0.4480059686
208	0.4474312096
209	0.4468370803
210	0.4462389842
211	0.4457087712
212	0.4452247224
213	0.4447422058
214	0.4441577258
215	0.4436042498
216	0.4431159113
217	0.4425335393
218	0.4419377537
219	0.44158139
220	0.4410289396
221	0.4406606265
222	0.4404022019
223	0.4400686049
